Intern_ID,Completion_Time,Feedback_Rating,Attendance,Performance_Score,performance_label
INT0001,3.26,4.09,86.5,70.98,Medium
INT0002,,1.33,59.23,42.16,Low
INT0003,5.78,,42.98,49.89,Low
INT0004,4.28,1.43,83.16,68.49,Medium
INT0005,1.53,1.91,74.1,77.51,High
INT0006,2.07,2.46,86.93,97.98,High
INT0007,1.24,1.8,98.06,72.22,Medium
INT0008,5.86,3.38,55.83,55.62,Medium
INT0009,4.23,3.05,85.48,79.96,High
INT0010,5.31,2.04,61.52,65.64,Medium
INT0011,1.0,4.34,0.0,95.37,High
INT0012,7.0,1.92,31.05,59.55,Medium
INT0013,5.9,2.71,56.8,73.69,Medium
INT0014,1.98,1.33,65.99,68.94,Medium
INT0015,2.22,1.01,67.1,73.52,Medium
INT0016,1.84,1.0,94.98,66.79,Medium
INT0017,2.82,1.0,87.09,52.54,Medium
INT0018,,3.56,98.61,59.46,Medium
INT0019,3.54,1.0,8.47,56.65,Medium
INT0020,3.05,,26.47,58.19,Medium
INT0021,4.39,1.0,66.38,53.18,Medium
INT0022,2.24,1.8,42.26,56.06,Medium
INT0023,3.04,5.0,66.32,86.84,High
INT0024,3.03,1.83,83.65,56.18,Medium
INT0025,3.42,4.74,76.54,81.34,High
INT0026,5.49,1.0,69.27,43.09,Low
INT0027,2.03,4.45,57.45,84.88,High
INT0028,4.15,3.57,51.11,78.32,High
INT0029,4.1,2.62,60.94,64.94,Medium
INT0030,1.69,5.0,3.33,78.86,High
INT0031,4.25,1.82,89.27,50.05,Medium
INT0032,1.8,5.0,55.62,86.89,High
INT0033,1.0,5.0,86.21,100.0,High
INT0034,6.45,4.38,69.28,69.46,Medium
INT0035,7.0,2.64,24.4,58.41,Medium
INT0036,5.97,2.18,90.64,55.13,Medium
INT0037,2.56,5.0,78.98,94.96,High
INT0038,1.96,2.97,61.79,63.74,Medium
INT0039,5.41,4.05,94.73,65.78,Medium
INT0040,3.89,3.0,52.26,41.81,Low
INT0041,2.08,2.69,60.09,90.93,High
